WELCOME|Chào mừng thanh niên <3
30 SECONDS|30s nữa là ra chiến trường 
MINIONS SPAWN|Giết địch nào anh em :))
FIRST BLOOD|Headshot :") 
DOUBLE KILL|2 tên đã bị hạ
TRIPLE KILL|3 tên lên bảng đếm số
QUADRA KILL|Thêm thằng nữa để được ghi công
PENTA KILL|Chụp ảnh lại nào =))
HEXA KILL|Ko thể tin được :v
KILLING SPREE 1|@srctr name@ Đã thăng chức Hạ sĩ
KILLING SPREE 2|@srctr name@ Đã thăng chức Trung sĩ
KILLING SPREE 3|@srctr name@ Đã thăng chức Thượng sĩ
KILLING SPREE 4|@srctr name@ Đã thăng chức Đại Úy :))
KILLING SPREE 5|@srctr name@  Đã thăng chức Đại tá  :o
KILLING SPREE 6|@srctr name@ Đại tướng cmnr :v
ACE|TỤI NÓ ĐÃ NGỦM HẾT
DEFEAT|THẤT BẠI,HẾT
VICTORY|CHIẾN THẮNG,HẾT
SHUTDOWN|GOOD JOB
KILL ENEMY|Cố gắng thêm vài mạng lên chức
LEAVE|@srctr name@ đã bỏ chạy
LOADING TIMEOUT|@srctr name@ đã bị mẹ gank =))
QUIT|@srctr name@ nhục :))))
