WELCOME|Chào mừng dũng sĩ giết gà <3
30 SECONDS|30s nữa đệ ra 
MINIONS SPAWN|Thể hiện nào
FIRST BLOOD|Easy :))
DOUBLE KILL|2 em lên bảng
TRIPLE KILL|3 em lên bảng
QUADRA KILL|Thêm thằng nữa nào
PENTA KILL|Chụp ảnh lại nhanh :)))
HEXA KILL|Thánh cmnr =))
KILLING SPREE 1|@srctr name@ Liên tục hấp diêm 
KILLING SPREE 2|@srctr name@ Phá nát đội hình đối phương :0
KILLING SPREE 3|@srctr name@ xanh quá rồi =))
KILLING SPREE 4|@srctr name@ Thêm thằng nữa để bất tử nào
KILLING SPREE 5|@srctr name@ Giết  hộ cái =))
KILLING SPREE 6|@srctr name@ 1 mình anh cân hết
ACE|NGON CƠM
DEFEAT|GÀ QUÁ ĐI
VICTORY|HÊN THÔI
SHUTDOWN|TẮT ĐIỆN
KILL ENEMY|1 em lên bảng
LEAVE|@srctr name@ feed xong out :)))
LOADING TIMEOUT|@srctr name@ trốn cmnr =))
QUIT|@srctr name@ Report gấp (y)
